nome,link,tipo,categoria
Te al centro del mio cuore.pdf,https://drive.google.com/file/d/0B125_qILHPJebm56akhxRTh3SjhsM2JMMFdKN05rWVRpYUM0/view?usp=drivesdk&resourcekey=0-eVaa818NU5alT_Fbn4Cy3Q,testo,altro
Resta accanto a me.pdf,https://drive.google.com/file/d/0B125_qILHPJeRVBBXzU0NmF6SEFQd2NpVmNHMG1KY3hsQXZB/view?usp=drivesdk&resourcekey=0--QLJzuo-SWGi4MJSl6FcpA,testo,altro
Perchè tu sei con me.pdf,https://drive.google.com/file/d/0B125_qILHPJeY2FsYVBqQ0h3aFJyZkRuRGIwQ1VWV2oxRE80/view?usp=drivesdk&resourcekey=0-cFGgwfCo9iXfleAk1oGcAQ,testo,altro
O Signore guardami.pdf,https://drive.google.com/file/d/0B125_qILHPJeTHZFTkZlR1lKcTRlLWMxOXZwcXJsWWJpN2VJ/view?usp=drivesdk&resourcekey=0-qlUS1dDbnbfp2BXGLqzaiQ,testo,altro
NOI TI OFFRIAMO.pdf,https://drive.google.com/file/d/0B125_qILHPJeY0o3RHlzX3ZuTzhQY3Z3aEpad056aHBaenIw/view?usp=drivesdk&resourcekey=0-RXNSc8VhVM-82ICIOBWBKg,testo,altro
OGGI È FESTA ALLELUIA.pdf,https://drive.google.com/file/d/0B125_qILHPJeTkxFVVBuMkM3V0JaVVBQZHhlZ3czNzZ4dDQ0/view?usp=drivesdk&resourcekey=0-f8AEfhiPs3aurhrxsaJE9g,testo,altro
LODE AL NOME TUO.pdf,https://drive.google.com/file/d/0B125_qILHPJeM05DU1o0MkpmbDJlaDdKcHFoN3dYTk0zNUN3/view?usp=drivesdk&resourcekey=0-zbiuyGGkZn5xupgl8UFuVA,testo,altro
COME FUOCO VIVO.pdf,https://drive.google.com/file/d/0B125_qILHPJeOS0xM1V3dWhJNWZkaW1TUGNET3NKWVhQMlRr/view?usp=drivesdk&resourcekey=0-5MFUboMvkvxdtTVA4E9Apw,testo,altro
RISORGERÓ CON TE.pdf,https://drive.google.com/file/d/0B125_qILHPJeYm00Ml91RVo5UTFQYm1UdkRTM2IwOEhPRm5V/view?usp=drivesdk&resourcekey=0-mng5nvdGjF0FAnFTTJ37_w,testo,altro
LA TUA PAROLA.pdf,https://drive.google.com/file/d/0B125_qILHPJeNXdqdG83cUdnWFlYcTZGMjdIa01tdk5rZDhN/view?usp=drivesdk&resourcekey=0-dDuDcrB8zl0hApO-qwQknA,testo,altro
